metric,metric_group,metric_direction,model,seed_count_with_complete_budget_trend,is_primary_trend_metric,mean_10m,mean_25m,mean_50m,std_10m,std_25m,std_50m,mean_delta_25m_minus_10m,mean_delta_50m_minus_25m,mean_delta_50m_minus_10m,ci95_low_delta_50m_minus_10m,ci95_high_delta_50m_minus_10m,mean_slope_per_log10_token,std_slope_per_log10_token,ci95_low_slope_per_log10_token,ci95_high_slope_per_log10_token,median_slope_per_log10_token,exact_sign_flip_p_value_for_slope,exact_sign_flip_p_value_for_50m_minus_10m_delta,directional_improvement_50m_vs_10m_seed_count,directional_worsening_50m_vs_10m_seed_count
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,10,False,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,10,False,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,10,False,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,10,False,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,10,False,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,10,False,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
expert_bias_mean,routing,descriptive_only,dense_121m,0,False,,,,,,,,,,,,,,,,,,,,
expert_bias_mean,routing,descriptive_only,mla_121m,0,False,,,,,,,,,,,,,,,,,,,,
expert_bias_mean,routing,descriptive_only,mtp_121m,0,False,,,,,,,,,,,,,,,,,,,,
expert_bias_mean,routing,descriptive_only,moe_220m,0,False,,,,,,,,,,,,,,,,,,,,
expert_bias_mean,routing,descriptive_only,mla_moe_220m,0,False,,,,,,,,,,,,,,,,,,,,
expert_bias_mean,routing,descriptive_only,v3_routing_220m,0,False,,,,,,,,,,,,,,,,,,,,
expert_bias_std,routing,lower_is_better,dense_121m,0,False,,,,,,,,,,,,,,,,,,,0,0
expert_bias_std,routing,lower_is_better,mla_121m,0,False,,,,,,,,,,,,,,,,,,,0,0
expert_bias_std,routing,lower_is_better,mtp_121m,0,False,,,,,,,,,,,,,,,,,,,0,0
expert_bias_std,routing,lower_is_better,moe_220m,0,False,,,,,,,,,,,,,,,,,,,0,0
expert_bias_std,routing,lower_is_better,mla_moe_220m,0,False,,,,,,,,,,,,,,,,,,,0,0
expert_bias_std,routing,lower_is_better,v3_routing_220m,0,False,,,,,,,,,,,,,,,,,,,0,0
lm_loss,optimization,lower_is_better,dense_121m,10,False,4.783436632156372,4.39507360458374,4.250305151939392,0.2436563967599736,0.1500282595915907,0.28403431146601127,-0.38836302757263186,-0.14476845264434815,-0.53313148021698,-0.8094503246811355,-0.25681263575282437,-0.7738862960635158,0.5442249822747292,-1.1632013955256595,-0.3845711966013721,-0.850330711955448,0.0078125,0.0078125,8,2
lm_loss,optimization,lower_is_better,mla_121m,10,False,5.040516805648804,4.692891836166382,4.4685547828674315,0.21103175403153357,0.16565659559565407,0.2600326490002638,-0.3476249694824219,-0.2243370532989502,-0.5719620227813721,-0.8205921362784867,-0.3233319092842575,-0.8211825550200421,0.4871041718766869,-1.1696358882903388,-0.4727292217497454,-0.8696902800351876,0.00390625,0.005859375,9,1
lm_loss,optimization,lower_is_better,mtp_121m,10,False,4.765960311889648,4.382764720916748,4.234798240661621,0.25421556260090505,0.1589659703522372,0.2860361058808368,-0.3831955909729004,-0.14796648025512696,-0.5311620712280274,-0.8077377398269412,-0.25458640262911364,-0.7705370483290906,0.5430824717869648,-1.159034845023689,-0.3820392516344925,-0.9055576259571998,0.0078125,0.0078125,8,2
